Bcmass tau  tauerror
6.0746455 0.07109885 0.02834549
6.303937 0.037935432 0.033258878
6.297829 0.05626329 0.040810198
6.1169024 0.091628544 0.041283943
6.1523366 0.04690372 0.028348936
6.3058696 0.09338301 0.046600465
6.287201 0.062299073 0.045091256
6.1851835 0.17684577 0.06730758
6.3791475 0.17482851 0.046067305
6.1139793 0.11084084 0.041429766
6.2544713 0.14413619 0.032353744
6.465275 0.09730516 0.03750622
6.248841 0.06446896 0.042971145
6.2665915 0.22863887 0.08696784
6.336942 0.24903317 0.05520933
6.262531 0.13651848 0.064090006
6.2747707 0.11255254 0.041759558
6.3006344 0.057209004 0.03444237
6.290603 0.699269 0.072275534
6.346687 0.378584 0.0688304
6.481346 0.06208842 0.04096949
6.295892 0.01776543 0.03275998
6.1239805 0.07531269 0.032839235
6.2555256 0.059462152 0.027979515
6.26132 0.25024083 0.042868663
6.3152347 0.070472956 0.044505987
6.4906383 0.15251152 0.040082343
6.2249403 0.1116995 0.04747409
6.2157865 0.14772901 0.042093426
6.29105 0.9853325 0.19721913
6.298119 0.05661934 0.03704067
6.0807114 0.061613977 0.03394573
6.2239366 0.28354868 0.05642281
6.349283 0.052067004 0.04200632
6.493243 0.08875591 0.059429117
6.4119205 0.23454042 0.03972834
6.340744 0.69456047 0.06389496
6.424617 0.044667028 0.033236135
6.3401937 0.05768719 0.04818491
6.182341 0.15852799 0.070018135
6.24412 0.4702657 0.05821099
6.123013 0.09369631 0.037551176
6.0959897 0.074396685 0.045602743
6.4932446 0.355385 0.075830445
6.2186947 0.215959 0.06642132
6.075356 0.12986015 0.036545176
6.1447115 0.3419295 0.14142074
6.133847 0.11422408 0.032598786
6.3154707 1.949449 0.20018245
6.051938 0.04671052 0.032890316
6.4217925 0.043297656 0.041105658
6.31238 0.76623136 0.13813812
6.4769254 0.24661453 0.13338062
6.061116 0.07550556 0.0390383
6.280319 0.39901596 0.056150284
6.207459 0.12036784 0.088989675
6.320854 0.084047675 0.03814167
6.0951066 0.13447921 0.04865769
6.4588327 0.014994382 0.037377812
6.2146816 0.14963603 0.041903414
6.202502 0.41771436 0.0648052
6.0782413 0.13496216 0.04892196
